party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp,score
Democrat,nevada,3,NA,1,1,0,1,0.75,1,0.51,0.68,1,0.85,0.68,0.75,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.728461538461538
Independent,florida,3,NA,1,1,1,0,0.5,0.25,0.85,0.68,0.85,0.85,0.51,0.25,0.25,2020,Not Religious,NA,NA,NA,NA,NA,0.614615384615385
Independent,west virginia,3,NA,1,0,0,0,0.75,0.75,0.51,0.51,0.51,0.51,0.51,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.426923076923077
Republican,massachusetts,3,NA,1,1,1,1,0.5,0.75,0.51,0.85,0.85,0.51,0.51,0,0,2020,Roman Catholic,NA,NA,NA,NA,NA,0.652307692307692
NA,ohio,3,NA,0,1,1,1,0.5,0.75,0.51,0.51,0.51,1,1,0.5,0.5,2020,Mainline,Trump,NA,NA,NA,NA,0.675384615384615
NA,virginia,2,NA,1,1,1,0,0.5,1,0.34,0.68,1,0.51,0.51,0.25,0.5,2020,Mainline,NA,NA,NA,NA,NA,0.637692307692308
Republican,new york,3,NA,0,0,0,0,0.25,0.25,0.51,0.68,0.68,0.51,0.51,0.25,0.25,2020,Not Religious,Trump,NA,NA,NA,NA,0.299230769230769
Republican,oklahoma,4,NA,1,1,1,0,0.5,1,0.85,0.51,1,0.85,0.85,0,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.677692307692308
NA,ohio,3,NA,1,0,0,0,0.5,0.75,0.51,0.17,0.51,0.85,0.85,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.433846153846154
NA,hawaii,3,NA,1,1,1,1,0.5,0.5,0.51,1,1,0.85,0.85,0.25,0.25,2020,Not Religious,Trump,NA,NA,NA,NA,0.746923076923077
NA,texas,2,NA,1,0,1,0,0.5,1,0.51,0.51,0.51,0.85,0.85,0.75,0.75,2020,Evangelical,Trump,NA,NA,NA,NA,0.633076923076923
Democrat,massachusetts,2,NA,1,0,0,0,0.25,0.5,0.51,0.34,1,1,1,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.469230769230769
NA,georgia,4,NA,1,1,0,0,0,0.5,0.51,0.51,0.85,1,0.17,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.426153846153846
NA,south carolina,3,NA,0,0,0,0,0,0.5,0.51,0.51,0.51,0.51,0.51,0,0,2020,Undifferentiated Protestant,Biden,NA,NA,NA,NA,0.234615384615385
NA,washington,3,NA,0,0,0,0,0.25,0.5,0.51,0.51,0.51,0.85,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.318461538461538
Democrat,pennsylvania,2,NA,1,1,1,0,1,1,0.51,0.51,0.51,0.51,0.51,0.25,1,2020,Jewish,NA,NA,NA,NA,NA,0.676923076923077
Independent,pennsylvania,4,NA,1,1,1,0,0.75,0.5,0.68,0.51,0.51,0.51,0.51,1,0.75,2020,Roman Catholic,NA,NA,NA,NA,NA,0.670769230769231
Democrat,california,3,NA,1,0,0,0,0.25,0.5,0.68,0.68,0.68,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.37
Republican,idaho,2,NA,1,1,1,0,0.75,0.5,0.85,0.85,1,0.85,0.85,0.5,0.5,2020,Other Christian,Trump,NA,NA,NA,NA,0.742307692307692
NA,indiana,2,NA,0,0,0,0,0.25,1,0.51,0.85,0.85,0.68,0.51,0.25,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.396153846153846
Democrat,pennsylvania,3,NA,1,1,0,0,0.25,0.75,0.51,0.85,1,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.490769230769231
Republican,maryland,2,NA,1,1,1,1,0.5,1,0.68,0.85,0.51,1,0.85,0.25,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.760769230769231
Independent,massachusetts,3,NA,1,0,1,0,0.5,0.75,0.51,0.51,0.51,0.51,0.51,0,0,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.446153846153846
Independent,kansas,3,NA,0,0,0,0,0.5,0.75,0.51,0.85,0.85,0.85,0.51,0.25,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.409230769230769
Republican,pennsylvania,4,NA,0,1,0,0,0.25,0.5,0.85,0.85,0.51,0.85,0.51,0.25,0,2020,Mainline,Biden,NA,NA,NA,NA,0.428461538461538
Republican,new york,3,1,1,1,1,1,0.5,1,1,1,1,0.51,0.51,0.25,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.770769230769231
Republican,california,3,NA,0,0,0,0,0.75,0.5,0.51,0,0.51,1,0.51,0.25,0.25,2020,Not Religious,Trump,NA,NA,NA,NA,0.329230769230769
NA,illinois,3,NA,1,1,0,0,0.5,1,0.85,0.85,0.68,0.85,0.85,0.25,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.621538461538461
NA,ohio,3,NA,1,1,0,0,0.5,0.75,0.85,0.85,0.85,1,0.51,0,0.5,2020,Mainline,Trump,NA,NA,NA,NA,0.600769230769231
NA,illinois,2,NA,1,1,0,1,0.75,0.75,0.51,0.85,0.51,0.68,0.51,0.5,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.639230769230769
Democrat,massachusetts,3,NA,0,1,0,1,0.5,1,0.51,0.51,0.51,0.51,0.17,0.5,0.5,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.516153846153846
Democrat,north carolina,4,NA,1,1,1,0,0,0,1,0.68,1,0.51,0.51,0,0,2020,Evangelical,Biden,NA,NA,NA,NA,0.515384615384615
Republican,new york,1,NA,1,1,1,0,0.75,1,0.85,0.85,0.85,0.85,1,0.75,0.75,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.819230769230769
Democrat,pennsylvania,3,NA,0,1,1,0,0.25,0.25,0.34,0.51,0.68,0.51,0.68,0,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.420769230769231
Republican,arizona,1,2,1,1,1,1,0.75,0.75,0.51,0.51,0.51,0.51,0.51,0.25,0.25,2020,Mainline,NA,NA,NA,NA,NA,0.657692307692308
Republican,florida,2,NA,0,0,0,0,0.25,1,0.51,0.51,0.85,0.51,0.85,0.25,0.25,2020,NA,Trump,NA,NA,NA,NA,0.383076923076923
Democrat,colorado,3,2,0,0,1,0,0.25,1,0.51,0.51,0.51,0.51,0.51,0.25,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.407692307692308
NA,alabama,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA,NA
NA,michigan,3,NA,1,1,1,0,0,0.5,0.34,0.51,0.51,0.51,0.51,0.25,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.490769230769231
NA,NA,3,NA,1,1,1,1,0.25,0.5,0.51,0.51,0.51,1,0.51,0.5,0.5,2020,Mainline,NA,NA,NA,NA,NA,0.676153846153846
NA,tennessee,4,NA,1,1,0,0,0,0.5,0.51,0.51,0.51,1,0.85,0.75,0.75,2020,Evangelical,NA,NA,NA,NA,NA,0.567692307692308
Democrat,oregon,1,NA,0,1,0,0,0,0.25,0.51,0.68,0.51,0.51,0.51,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.343846153846154
NA,wisconsin,3,NA,1,1,1,1,0.5,1,0.85,0.85,0.85,0.51,0.51,0,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.716923076923077
Democrat,arizona,3,NA,0,0,0,0,0.25,0.75,0.51,0.51,0.51,0.51,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.311538461538462
Independent,california,5,NA,0,1,1,0,1,0,0,0,0.85,0.85,0.17,1,0.5,2020,Not Religious,NA,NA,NA,NA,NA,0.49
Independent,pennsylvania,3,NA,1,1,1,1,0.5,0.5,0.51,0.51,0.51,0.51,0.85,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.606923076923077
NA,missouri,3,NA,1,1,0,0,0.25,0.75,0.85,0.85,1,0.51,0.51,0.25,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.555384615384615
NA,georgia,3,NA,1,1,1,0,0.25,0.75,0.51,0.85,0.85,1,0.51,0.75,0.5,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.69
Republican,maryland,1,NA,1,1,0,1,0.5,1,0.85,0.85,1,0.51,0.51,0.25,0.5,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.69
Democrat,oregon,2,NA,0,0,0,0,0,0,1,1,1,0.85,0.51,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.373846153846154
Independent,new hampshire,2,NA,NA,NA,NA,0,0.5,NA,NA,1,1,0.85,0.51,0,0,2020,Other Christian,Biden,NA,NA,NA,NA,0.4825
NA,ohio,2,NA,0,1,0,0,0,0.5,0.51,0.85,0.68,1,0.51,0,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.407692307692308
NA,illinois,3,NA,1,1,0,0,0.25,1,0.85,1,1,0.51,0.51,0.75,0.5,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.643846153846154
Republican,arizona,5,NA,1,1,1,0,0.5,1,0.51,0.51,0.85,1,1,0.25,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.682307692307692
Democrat,new york,3,NA,0,0,0,0,0.5,0.5,0.85,0.85,0.68,0.51,0.51,0,0,2020,Not Religious,Other,NA,NA,NA,NA,0.338461538461538
Independent,louisiana,3,NA,1,0,1,0,0.5,0.75,0.51,0.51,0.51,0.51,0.51,0.25,0.5,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.503846153846154
NA,minnesota,2,NA,1,0,1,0,0.5,0.75,0.51,0.51,0.51,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.446153846153846
NA,illinois,4,NA,1,1,0,0,0.5,0.75,1,0.68,0.85,0.85,0.51,0,0,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.549230769230769
Independent,north carolina,1,NA,0,0,0,0,0,0.5,0,0.17,0.34,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.156153846153846
Democrat,new jersey,3,NA,0,1,1,1,0.25,0.25,0.68,0.68,0.68,1,0.51,0.25,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.580769230769231
Democrat,new hampshire,2,NA,1,0,0,1,0.25,0.25,0.51,0.51,0.51,0.85,0.34,0.75,0.5,2020,Not Religious,NA,NA,NA,NA,NA,0.497692307692308
Independent,massachusetts,1,NA,0,0,0,0,0,0.5,0,0,0.34,1,0.51,0,0,2020,Other Christian,Biden,NA,NA,NA,NA,0.180769230769231
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Other Christian,NA,NA,NA,NA,NA,NA
Democrat,NA,3,NA,1,1,1,0,0.25,0.25,0.51,0.51,0.51,0.68,0.51,0,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.497692307692308
NA,michigan,2,NA,1,0,0,0,0.25,0.5,0.85,0.51,0.51,0.51,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.395384615384615
Republican,arkansas,3,NA,1,0,0,1,0.75,0.75,0.51,0.68,0.85,1,0.51,0.25,0.25,2020,Mainline,Trump,NA,NA,NA,NA,0.580769230769231
NA,virginia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Roman Catholic,NA,NA,NA,NA,NA,NA
Democrat,north carolina,3,NA,1,1,1,0,0.75,0.75,NA,0.85,1,0.51,0.85,0.75,0.75,2020,Evangelical,Trump,NA,NA,NA,NA,0.7675
Democrat,north carolina,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA,NA
NA,south carolina,3,NA,0,0,0,0,0.5,1,0.85,0.51,0.85,0.85,0.85,0.25,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.454615384615385
Independent,florida,4,NA,1,0,1,0,0.5,0.75,0.51,0.68,0.85,0.51,0.51,0.5,0.25,2020,Mainline,NA,NA,NA,NA,NA,0.543076923076923
NA,illinois,3,NA,1,1,1,0,0.25,0.5,0.51,0.85,0.51,0.85,0.85,0.25,0,2020,Other Christian,Trump,NA,NA,NA,NA,0.582307692307692
NA,tennessee,3,NA,1,0,0,0,0.25,0.25,0.85,0.85,0.51,0.51,0.51,0.25,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.383076923076923
Republican,louisiana,5,NA,1,1,1,0,0.25,0.75,1,0.85,0.51,0.51,0.51,0.75,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.644615384615385
NA,NA,1,NA,1,1,1,1,0.5,1,0.51,0.51,0.68,0.85,0.51,0.25,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.696923076923077
